original contig name	Isolation source	Completeness	Cenote-taker contig name	Length	Element Name	Topology	Common Viral Domains	ORF caller used	BLASTN result (if any)	GI	ref	taxid	Kingdom	Phylum	Class	Order	Family	Genus	Species	Protein	Coverage	Repetitive
contig_1469	unknown	Partial genome (putative)	ct2_contig_dictionary519_vs01	1212	Siphoviridae sp. ctuWV519	linear	1	Prodigal (meta)	no blastn	327409409	YP_004301551.1	764562	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	gp17	1	N
contig_147	unknown	unknown	NA	5999	not classified sp. cat1431	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	5	N
contig_1470	unknown	Partial genome (putative)	ct2_contig_dictionary521_vs01	1212	Podoviridae sp. cthHh521	linear	1	Prodigal (meta)	no blastn	1070106533	YP_009292380.1	1874000	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	lower collar protein	1	N
contig_1471	unknown	unknown	NA	1211	dark_matter sp. cat1088	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1088	no protein	1	N
contig_1472	unknown	unknown	NA	1211	Bacteroidales sp. cat1433	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	1	N
contig_1473	unknown	unknown	NA	1210	Prevotella sp. cat1434	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	not classified	no protein	1	N
contig_1474	unknown	unknown	NA	1200	uncultured Ruminococcus sp. sp. cat1435	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	165186	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	uncultured Ruminococcus sp.	no protein	4	N
contig_1475	unknown	unknown	NA	1209	Lachnospiraceae sp. cat1436	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186803	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	not classified	not classified	no protein	1	N
contig_1476	unknown	unknown	NA	1198	Clostridiales sp. cat1437	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1477	unknown	unknown	NA	1208	not classified sp. cat1438	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1478	unknown	unknown	NA	1208	Clostridiales sp. cat1439	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1479	unknown	unknown	NA	1208	Flavonifractor plautii sp. cat1440	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	292800	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	no protein	1	N
contig_148	unknown	Partial genome (putative)	ct2_contig_dictionary531_vs01	5974	Microviridae sp. ctZEh531	linear	2	Prodigal (meta)	no blastn	906476326	YP_009160360.1	1655651	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication protein VP4, partial	1	N
contig_1480	unknown	Partial genome (putative)	ct2_contig_dictionary532_vs01	1221	Microviridae sp. ctAAa532	linear	2	Prodigal (meta)	no blastn	557745632	YP_008798242.1	1385658	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	major capsid protein	1	N
contig_1481	unknown	unknown	NA	1205	uncultured Dysgonomonas sp. sp. cat1443	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	206096	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonamonadaceae	Dysgonomonas	uncultured Dysgonomonas sp.	no protein	2	N
contig_1482	unknown	unknown	NA	1207	unclassified Microviridae sp. cat1444	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	117574	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	not classified	not classified	no protein	1	N
contig_1483	unknown	unknown	NA	1207	not classified sp. cat1445	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1484	unknown	unknown	NA	1206	Flavobacteriales bacterium sp. cat1446	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2021391	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	no protein	1	N
contig_1485	unknown	unknown	NA	1206	Bacteroidales sp. cat1447	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	1	N
contig_1486	unknown	Partial genome (putative)	ct2_contig_dictionary538_vs01	1206	Siphoviridae sp. ct1kf538	linear	1	Prodigal (meta)	no blastn	9627919	NP_042317.1	36343	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Ceduovirus_undefined_species	unnamed protein product	1	N
contig_1487	unknown	unknown	NA	1205	uncultured bacterium sp. cat1449	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	77133	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	uncultured bacterium	no protein	1	N
contig_1488	unknown	unknown	NA	1205	Prevotella sp. cat1450	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	not classified	no protein	1	N
contig_1489	unknown	unknown	NA	1275	Parabacteroides sp. cat1451	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	375288	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	not classified	no protein	3	N
contig_149	unknown	Partial genome (putative)	ct2_contig_dictionary542_vs01	5970	Microviridae sp. ctotm542	linear	3	Prodigal (meta)	no blastn	971765486	YP_009218538.1	1655644	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication protein VP4	1	N
contig_1490	unknown	unknown	NA	1204	Bacteroides sp. cat1453	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	816	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	not classified	no protein	1	N
contig_1491	unknown	unknown	NA	1041	bacterium P201 sp. cat1454	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1768112	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	bacterium P201	no protein	3	N
contig_1492	unknown	unknown	NA	1212	dark_matter sp. cat1089	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1089	no protein	1	N
contig_1493	unknown	unknown	NA	1203	dark_matter sp. cat1090	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1090	no protein	1	N
contig_1494	unknown	unknown	NA	1203	Parabacteroides sp. cat1455	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	375288	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	not classified	no protein	1	N
contig_1495	unknown	unknown	NA	1202	not classified sp. cat1456	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	2	N
contig_1496	unknown	unknown	NA	1202	Gammaproteobacteria sp. cat1457	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1236	Bacteria	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	not classified	no protein	1	N
contig_1497	unknown	Partial genome (putative)	ct2_contig_dictionary550_vs01	1202	Podoviridae sp. ctk8e550	linear	2	Prodigal (meta)	no blastn	194186883	YP_002004538.1	10756	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Salasvirus	Salasvirus_undefined_species	tail protein	1	N
contig_1498	unknown	unknown	NA	1202	dark_matter sp. cat1091	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1091	no protein	1	N
contig_1499	unknown	unknown	NA	1202	Blueberry shock virus sp. cat1459	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	747056	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Bromoviridae	Ilarvirus	Blueberry shock virus	no protein	1	N
contig_150	unknown	Partial genome (putative)	ct2_contig_dictionary553_vs01	5903	Microviridae sp. ctRbW553	linear	3	Prodigal (meta)	no blastn	971765806	YP_009218805.1	1655645	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication protein VP4	1	N
contig_1500	unknown	unknown	NA	1165	Bacteroides vulgatus sp. cat1461	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	821	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides vulgatus	no protein	6	N
contig_1501	unknown	unknown	NA	1201	not classified sp. cat1462	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1502	unknown	unknown	NA	1204	dark_matter sp. cat1092	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1092	no protein	1	N
contig_1503	unknown	unknown	NA	1200	Prevotella copri sp. cat1463	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	165179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	no protein	1	N
contig_1504	unknown	unknown	NA	1200	Blautia sp. cat1464	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	572511	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	not classified	no protein	1	N
contig_1505	unknown	unknown	NA	1200	Akkermansia muciniphila sp. cat1465	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	239935	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	no protein	1	N
contig_1506	unknown	unknown	NA	1199	Bacteroidales sp. cat1466	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	1	N
contig_1507	unknown	Partial genome (putative)	ct2_contig_dictionary561_vs01	1199	Myoviridae sp. ctF3F561	linear	1	Prodigal (meta)	no blastn	155042935	YP_001425602.1	396034	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Svunavirus	Svunavirus_undefined_species	Phage portal protein	1	N
contig_1508	unknown	unknown	NA	1199	Faecalibacterium prausnitzii sp. cat1468	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	853	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	no protein	7	N
contig_1509	unknown	unknown	NA	1199	Bacteroides sp. AF29-11 sp. cat1469	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2292928	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. AF29-11	no protein	1	N
contig_151	unknown	Partial genome (putative)	ct2_contig_dictionary564_vs01	5835	Podoviridae sp. ctQV3564	linear	2	Prodigal (meta)	no blastn	389060390	YP_006383598.1	1162304	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	connector protein	1	N
contig_1510	unknown	unknown	NA	1198	Staphylococcus aureus sp. cat1471	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1280	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	no protein	1	N
contig_1511	unknown	unknown	NA	1198	Bacteroides sp. cat1472	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	816	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	not classified	no protein	1	N
contig_1512	unknown	Partial genome (putative)	ct2_contig_dictionary567_vs01	1197	Microviridae sp. ct2xs567	linear	0	Prodigal (meta)	no blastn	971763748	YP_009216767.1	1701404	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	putative major capsid protein	1	N
contig_1513	unknown	unknown	NA	1197	Clostridiales sp. cat1474	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1514	unknown	Partial genome (putative)	ct2_contig_dictionary569_vs01	1196	Siphoviridae sp. ctIYX569	linear	2	Prodigal (meta)	no blastn	1070097731	YP_009279715.1	1871687	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	hypothetical protein DS63301_35	1	N
contig_1515	unknown	unknown	NA	1196	Zoogloea sp. 1C4 sp. cat1476	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2570190	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	Zoogloea sp. 1C4	no protein	1	N
contig_1516	unknown	unknown	NA	1196	Bacteroides sp. cat1477	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	816	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	not classified	no protein	1	N
contig_1517	unknown	unknown	NA	1205	Paraprevotella clara YIT 11840 sp. cat1478	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	762968	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella clara	no protein	2	N
contig_1518	unknown	unknown	NA	1153	dark_matter sp. cat1093	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1093	no protein	10	N
contig_1519	unknown	unknown	NA	1195	Flammeovirga sp. SR4 sp. cat1479	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2726742	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flammeovirga	Flammeovirga sp. SR4	no protein	1	N
contig_152	unknown	Partial genome (putative)	ct2_contig_dictionary575_vs01	5832	Microviridae sp. ctsGL575	linear	3	Prodigal (meta)	no blastn	906476326	YP_009160360.1	1655651	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	replication protein VP4, partial	1	N
contig_1520	unknown	unknown	NA	1195	Alistipes sp. cat1481	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	239759	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	not classified	no protein	1	N
contig_1521	unknown	unknown	NA	1195	Firmicutes sp. cat1482	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1239	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1522	unknown	unknown	NA	1194	dark_matter sp. cat1094	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1094	no protein	1	N
contig_1523	unknown	unknown	NA	1193	not classified sp. cat1483	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1	not classified	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1524	unknown	Partial genome (putative)	ct2_contig_dictionary580_vs01	1193	Siphoviridae sp. ctYfU580	linear	2	Prodigal (meta)	no blastn	9630568	NP_047115.1	63118	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Skunavirus	Skunavirus_undefined_species	putative terminase subunit	1	N
contig_1525	unknown	unknown	NA	1193	not classified sp. cat1485	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified	no protein	1	N
contig_1526	unknown	unknown	NA	1193	Prevotella sp. cat1486	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	838	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	not classified	no protein	1	N
contig_1527	unknown	unknown	NA	1192	Parcubacteria group bacterium ADurb.Bin216 sp. cat1487	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1852939	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	Parcubacteria group bacterium ADurb.Bin216	no protein	1	N
contig_1528	unknown	unknown	NA	1192	Clostridiales sp. cat1488	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1529	unknown	unknown	NA	1192	Bacteroides xylanisolvens sp. cat1489	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	371601	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	no protein	1	N
contig_153	unknown	Complete genome (putative)	ct2_contig_dictionary586	5665	Microviridae sp. ct531586	circular	2	PHANOTATE	no blastn	971765803	YP_009218802.1	1655645	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	major capsid protein VP1	5	N
contig_1530	unknown	unknown	NA	1192	dark_matter sp. cat1095	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1095	no protein	1	N
contig_1531	unknown	unknown	NA	1191	dark_matter sp. cat1096	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1096	no protein	1	N
contig_1532	unknown	unknown	NA	1191	Flavobacteriales bacterium sp. cat1491	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2021391	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	no protein	1	N
contig_1533	unknown	unknown	NA	1190	Clostridiales sp. cat1492	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	186802	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	not classified	no protein	1	N
contig_1534	unknown	unknown	NA	1190	crAss-like viruses sp. cat1493	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1978007	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	not classified	not classified	no protein	1	N
contig_1535	unknown	unknown	NA	1166	Firmicutes sp. cat1494	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	1239	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	not classified	no protein	4	N
contig_1536	unknown	unknown	NA	1188	Chlamydia trachomatis sp. cat1495	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	813	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis	no protein	1	N
contig_1537	unknown	unknown	NA	1186	Bacteroides phage crAss001 sp. cat1496	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	2301731	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Bacteroides phage crAss001	no protein	1	N
contig_1538	unknown	unknown	NA	1185	Butyricimonas virosa sp. cat1497	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	544645	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas virosa	no protein	1	N
contig_1539	unknown	unknown	NA	1185	Pseudomonas aeruginosa sp. cat1498	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	287	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	no protein	1	N
contig_154	unknown	unknown	NA	5666	Prevotella copri sp. cat1499	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	165179	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	no protein	1	N
contig_1540	unknown	unknown	NA	1191	dark_matter sp. cat1097	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	taxid_undefined	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1097	no protein	1	N
contig_1541	unknown	unknown	NA	1184	Ruminococcaceae sp. cat1500	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	541000	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	not classified	not classified	no protein	1	N
contig_1542	unknown	unknown	NA	1178	Bacteroidales sp. cat1501	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	171549	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	not classified	no protein	5	N
contig_1543	unknown	unknown	NA	1184	uncultured Blautia sp. sp. cat1502	linear	NA	Prodigal (meta)	no blastn	GI_undefined	ref_undefined	765821	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	uncultured Blautia sp.	no protein	1	N
contig_1544	unknown	Partial genome (putative)	ct2_contig_dictionary602_vs01	1184	Microviridae sp. ctqU3602	linear	2	Prodigal (meta)	no blastn	1043372885	YP_009259741.1	1676182	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	minor CP 1	1	N
